Date,AAPL,TSLA,MSFT
2025-11-10,269.1781311035156,445.2300109863281,503.90460205078125
2025-11-11,274.99267578125,439.6199951171875,506.573486328125
2025-11-12,273.21435546875,430.6000061035156,509.0233154296875
2025-11-13,272.6948547363281,401.989990234375,501.205810546875
2025-11-14,272.15533447265625,404.3500061035156,508.0672912597656
2025-11-17,267.2099609375,408.9200134277344,505.388427734375
2025-11-18,267.19000244140625,401.25,491.74517822265625
2025-11-19,268.3089294433594,403.989990234375,485.102783203125
2025-11-20,266.0010986328125,395.2300109863281,477.3404846191406
2025-11-21,271.2361755371094,391.0899963378906,471.04486083984375
2025-11-24,275.6620788574219,417.7799987792969,472.92059326171875
2025-11-25,276.7110900878906,419.3999938964844,475.90374755859375
2025-11-26,277.29052734375,426.5799865722656,484.3943786621094
2025-11-28,278.5893249511719,430.1700134277344,490.88958740234375
2025-12-01,282.8353576660156,430.1400146484375,485.6315612792969
2025-12-02,285.9224548339844,429.239990234375,488.8841552734375
2025-12-03,283.8843688964844,446.739990234375,476.64208984375
2025-12-04,280.4375915527344,454.5299987792969,479.7449951171875
2025-12-05,278.5193786621094,455.0,482.0597229003906
2025-12-08,277.6302185058594,439.5799865722656,489.9018249511719
2025-12-09,276.9208679199219,445.1700134277344,490.8995361328125
2025-12-10,278.5193786621094,451.45001220703125,477.4701843261719
2025-12-11,277.77008056640625,446.8900146484375,482.3690185546875
2025-12-12,278.0198669433594,458.9599914550781,477.4402770996094
2025-12-15,273.8537292480469,475.30999755859375,473.73870849609375
2025-12-16,274.353271484375,489.8800048828125,475.3051452636719
2025-12-17,271.58587646484375,467.260009765625,475.0357360839844
2025-12-18,271.935546875,483.3699951171875,482.87786865234375
2025-12-19,273.4141845703125,481.20001220703125,484.8134460449219
2025-12-22,270.7166748046875,488.7300109863281,483.81573486328125
2025-12-23,272.1053771972656,485.55999755859375,485.7413330078125
2025-12-24,273.55401611328125,485.3999938964844,486.90863037109375
2025-12-26,273.1444091796875,475.19000244140625,486.599365234375
2025-12-29,273.50408935546875,459.6400146484375,485.9907531738281
2025-12-30,272.82470703125,454.42999267578125,486.3699035644531
2025-12-31,271.6058349609375,449.7200012207031,482.5186767578125
2026-01-02,270.75665283203125,438.07000732421875,471.8630065917969
2026-01-05,267.0101623535156,451.6700134277344,471.773193359375
2026-01-06,262.1147155761719,432.9599914550781,477.4203186035156
2026-01-07,260.08660888671875,431.4100036621094,482.3690185546875
2026-01-08,258.7978515625,435.79998779296875,477.0212097167969
2026-01-09,259.1275329589844,445.010009765625,478.1885681152344
2026-01-12,260.0067138671875,448.9599914550781,476.09332275390625
2026-01-13,260.8059387207031,447.20001220703125,469.5981750488281
2026-01-14,259.71697998046875,439.20001220703125,458.3338928222656
2026-01-15,257.9685974121094,438.57000732421875,455.6200866699219
2026-01-16,255.29112243652344,437.5,458.8127746582031
2026-01-20,246.46937561035156,419.25,453.48492431640625
2026-01-21,247.41848754882812,431.44000244140625,443.0986328125
2026-01-22,248.1178436279297,449.3599853515625,450.1126403808594
2026-01-23,247.80812072753906,449.05999755859375,464.888916015625
2026-01-26,255.17123413085938,435.20001220703125,469.20904541015625
2026-01-27,258.0285339355469,430.8999938964844,479.485595703125
2026-01-28,256.2002868652344,431.4599914550781,480.533203125
2026-01-29,258.0385437011719,416.55999755859375,432.5128173828125
2026-01-30,259.2374267578125,430.4100036621094,429.31011962890625
2026-02-02,269.7575988769531,421.80999755859375,422.4058837890625
2026-02-03,269.22808837890625,421.9599914550781,410.2735595703125
2026-02-04,276.23150634765625,406.010009765625,413.2467956542969
2026-02-05,275.6520690917969,397.2099914550781,392.7735290527344
2026-02-06,277.8599853515625,411.1099853515625,400.22650146484375
2026-02-09,274.6199951171875,417.32000732421875,412.65814208984375
2026-02-10,273.67999267578125,425.2099914550781,412.328857421875
2026-02-11,275.5,428.2699890136719,403.4491271972656
2026-02-12,261.7300109863281,417.07000732421875,400.9248962402344
2026-02-13,255.77999877929688,417.44000244140625,400.4060974121094
2026-02-17,263.8800048828125,410.6300048828125,395.95623779296875
2026-02-18,264.3500061035156,411.32000732421875,398.69000244140625
2026-02-19,260.5799865722656,411.7099914550781,398.4599914550781
2026-02-20,264.5799865722656,411.82000732421875,397.2300109863281
2026-02-23,266.17999267578125,399.8299865722656,384.4700012207031
2026-02-24,272.1400146484375,409.3800048828125,389.0
2026-02-25,274.2300109863281,417.3999938964844,400.6000061035156
2026-02-26,272.95001220703125,408.5799865722656,401.7200012207031
2026-02-27,264.17999267578125,402.510009765625,392.739990234375
2026-03-02,264.7200012207031,403.32000732421875,398.54998779296875
2026-03-03,263.75,392.42999267578125,403.92999267578125
2026-03-04,262.5199890136719,405.94000244140625,405.20001220703125
2026-03-05,260.2900085449219,405.54998779296875,410.67999267578125
2026-03-06,257.4599914550781,396.7300109863281,408.9599914550781
2026-03-09,259.8800048828125,398.67999267578125,409.4100036621094
2026-03-10,260.8299865722656,399.239990234375,405.760009765625
2026-03-11,260.80999755859375,407.82000732421875,404.8800048828125
2026-03-12,255.75999450683594,395.010009765625,401.8599853515625
2026-03-13,250.1199951171875,391.20001220703125,395.54998779296875
2026-03-16,252.82000732421875,395.55999755859375,399.95001220703125
